Rank,Year,Date,Week,Team,H/A,Opp,Result,Status,Pass Att,Cmp%,Pass YDs,Pass TDs,Int,Sacks,Rush Att,Rush YDs,TDs,Snaps,Class
108.0,2020.0,2020-12-06,13.0,LVR,Away,NYJ,W 31-28,Start,47.0,59.57,381.0,3.0,1.0,2.0,2.0,5.0,1.0,78.0,1
109.0,2020.0,2020-12-13,14.0,LVR,Home,IND,L 27-44,Start,45.0,68.89,316.0,2.0,2.0,0.0,3.0,12.0,1.0,68.0,0
110.0,2020.0,2020-12-17,15.0,LVR,Home,LAC,L 27-30,Start,5.0,60.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0
111.0,2020.0,2020-12-26,16.0,LVR,Home,MIA,L 25-26,Start,34.0,61.76,336.0,1.0,0.0,3.0,2.0,-2.0,1.0,64.0,0
112.0,2020.0,2021-01-03,17.0,LVR,Away,DEN,W 32-31,Start,38.0,63.16,371.0,2.0,2.0,3.0,2.0,1.0,0.0,69.0,1
113.0,2021.0,2021-09-13,1.0,LVR,Home,BAL,W 33-27,Start,56.0,60.71,435.0,2.0,1.0,3.0,4.0,6.0,0.0,86.0,1
114.0,2021.0,2021-09-19,2.0,LVR,Away,PIT,W 26-17,Start,37.0,75.68,382.0,2.0,0.0,2.0,4.0,9.0,0.0,66.0,1
115.0,2021.0,2021-09-26,3.0,LVR,Home,MIA,W 31-28,Start,43.0,60.47,386.0,2.0,1.0,3.0,2.0,-2.0,0.0,83.0,1
116.0,2021.0,2021-10-04,4.0,LVR,Away,LAC,L 14-28,Start,34.0,61.76,196.0,2.0,1.0,4.0,3.0,6.0,0.0,57.0,0
117.0,2021.0,2021-10-10,5.0,LVR,Home,CHI,L 9-20,Start,35.0,62.86,206.0,0.0,1.0,3.0,3.0,10.0,0.0,63.0,0
118.0,2021.0,2021-10-17,6.0,LVR,Away,DEN,W 34-24,Start,27.0,66.67,341.0,2.0,0.0,2.0,2.0,-1.0,0.0,56.0,1
119.0,2021.0,2021-10-24,7.0,LVR,Home,PHI,W 33-22,Start,34.0,91.18,323.0,2.0,1.0,0.0,2.0,1.0,0.0,66.0,1
120.0,2021.0,2021-11-07,9.0,LVR,Away,NYG,L 16-23,Start,46.0,65.22,296.0,1.0,2.0,1.0,2.0,5.0,0.0,68.0,0
121.0,2021.0,2021-11-14,10.0,LVR,Home,KAN,L 14-41,Start,35.0,71.43,261.0,2.0,1.0,2.0,3.0,18.0,0.0,54.0,0
122.0,2021.0,2021-11-21,11.0,LVR,Home,CIN,L 13-32,Start,27.0,70.37,215.0,1.0,1.0,2.0,0.0,0.0,0.0,47.0,0
123.0,2021.0,2021-11-25,12.0,LVR,Away,DAL,W 36-33,Start,39.0,61.54,373.0,1.0,0.0,3.0,2.0,21.0,0.0,86.0,1
124.0,2021.0,2021-12-05,13.0,LVR,Home,WAS,L 15-17,Start,38.0,73.68,249.0,0.0,0.0,2.0,2.0,24.0,0.0,59.0,0
125.0,2021.0,2021-12-12,14.0,LVR,Away,KAN,L 9-48,Start,45.0,73.33,263.0,1.0,1.0,4.0,0.0,0.0,0.0,63.0,0
126.0,2021.0,2021-12-20,15.0,LVR,Away,CLE,W 16-14,Start,38.0,65.79,236.0,1.0,1.0,2.0,3.0,7.0,0.0,68.0,1
127.0,2021.0,2021-12-26,16.0,LVR,Home,DEN,W 17-13,Start,25.0,80.0,201.0,1.0,1.0,2.0,7.0,5.0,0.0,69.0,1
128.0,2021.0,2022-01-02,17.0,LVR,Away,IND,W 23-20,Start,31.0,77.42,255.0,1.0,2.0,2.0,0.0,0.0,0.0,61.0,1
129.0,2021.0,2022-01-09,18.0,LVR,Home,LAC,W 35-32,Start,36.0,55.56,186.0,2.0,0.0,3.0,1.0,-1.0,0.0,75.0,1
130.0,2022.0,2022-09-11,1.0,LVR,Away,LAC,L 19-24,Start,37.0,59.46,295.0,2.0,3.0,5.0,0.0,0.0,0.0,58.0,0
131.0,2022.0,2022-09-18,2.0,LVR,Home,ARI,L 23-29,Start,39.0,64.1,252.0,2.0,0.0,1.0,1.0,9.0,0.0,67.0,0
132.0,2022.0,2022-09-25,3.0,LVR,Away,TEN,L 22-24,Start,44.0,59.09,303.0,2.0,1.0,1.0,2.0,17.0,0.0,70.0,0
133.0,2022.0,2022-10-02,4.0,LVR,Home,DEN,W 32-23,Start,34.0,61.76,188.0,0.0,0.0,2.0,7.0,40.0,0.0,75.0,1
134.0,2022.0,2022-10-10,5.0,LVR,Away,KAN,L 29-30,Start,30.0,63.33,241.0,2.0,0.0,2.0,1.0,3.0,0.0,64.0,0
135.0,2022.0,2022-10-23,7.0,LVR,Home,HOU,W 38-20,Start,27.0,77.78,241.0,1.0,0.0,1.0,3.0,-1.0,0.0,55.0,1
136.0,2022.0,2022-10-30,8.0,LVR,Away,NOR,L 0-24,Start,26.0,57.69,101.0,0.0,1.0,3.0,1.0,-1.0,0.0,44.0,0
137.0,2022.0,2022-11-06,9.0,LVR,Away,JAX,L 20-27,Start,36.0,58.33,259.0,2.0,0.0,2.0,0.0,0.0,0.0,59.0,0
138.0,2022.0,2022-11-13,10.0,LVR,Home,IND,L 20-25,Start,38.0,63.16,248.0,2.0,0.0,2.0,0.0,0.0,0.0,70.0,0
139.0,2022.0,2022-11-20,11.0,LVR,Away,DEN,W 22-16,Start,37.0,62.16,307.0,2.0,0.0,1.0,0.0,0.0,0.0,66.0,1
140.0,2022.0,2022-11-27,12.0,LVR,Away,SEA,W 40-34,Start,36.0,69.44,295.0,3.0,2.0,1.0,2.0,10.0,0.0,76.0,1
141.0,2022.0,2022-12-04,13.0,LVR,Home,LAC,W 27-20,Start,30.0,53.33,250.0,2.0,1.0,0.0,0.0,0.0,0.0,61.0,1
142.0,2022.0,2022-12-08,14.0,LVR,Away,LAR,L 16-17,Start,20.0,55.0,137.0,0.0,2.0,0.0,4.0,11.0,0.0,60.0,0
143.0,2022.0,2022-12-18,15.0,LVR,Home,NWE,W 30-24,Start,38.0,52.63,231.0,3.0,1.0,3.0,0.0,0.0,0.0,68.0,1
144.0,2022.0,2022-12-24,16.0,LVR,Away,PIT,L 10-13,Start,30.0,53.33,174.0,1.0,3.0,3.0,3.0,14.0,0.0,53.0,0
147.0,2023.0,2023-09-10,1.0,NOR,Home,TEN,W 16-15,Start,33.0,69.7,305.0,1.0,1.0,4.0,3.0,4.0,0.0,62.0,1
148.0,2023.0,2023-09-18,2.0,NOR,Away,CAR,W 20-17,Start,36.0,58.33,228.0,0.0,1.0,4.0,3.0,-4.0,0.0,69.0,1
149.0,2023.0,2023-09-24,3.0,NOR,Away,GNB,L 17-18,Start,18.0,72.22,103.0,1.0,0.0,3.0,0.0,0.0,0.0,33.0,0
150.0,2023.0,2023-10-01,4.0,NOR,Home,TAM,L 9-26,Start,37.0,62.16,127.0,0.0,0.0,2.0,2.0,1.0,0.0,56.0,0
151.0,2023.0,2023-10-08,5.0,NOR,Away,NWE,W 34-0,Start,26.0,69.23,183.0,2.0,0.0,2.0,2.0,4.0,0.0,58.0,1
152.0,2023.0,2023-10-15,6.0,NOR,Away,HOU,L 13-20,Start,50.0,64.0,353.0,1.0,1.0,2.0,1.0,2.0,0.0,79.0,0
153.0,2023.0,2023-10-19,7.0,NOR,Home,JAX,L 24-31,Start,55.0,60.0,301.0,1.0,1.0,1.0,3.0,14.0,0.0,86.0,0
154.0,2023.0,2023-10-29,8.0,NOR,Away,IND,W 38-27,Start,27.0,70.37,310.0,2.0,0.0,1.0,1.0,-1.0,0.0,55.0,1
155.0,2023.0,2023-11-05,9.0,NOR,Home,CHI,W 24-17,Start,34.0,73.53,211.0,2.0,0.0,0.0,3.0,3.0,0.0,52.0,1
156.0,2023.0,2023-11-12,10.0,NOR,Away,MIN,L 19-27,Start,18.0,72.22,110.0,0.0,0.0,2.0,1.0,10.0,0.0,33.0,0
157.0,2023.0,2023-11-26,12.0,NOR,Away,ATL,L 15-24,Start,38.0,63.16,304.0,0.0,1.0,1.0,2.0,7.0,0.0,63.0,0
158.0,2023.0,2023-12-03,13.0,NOR,Home,DET,L 28-33,Start,22.0,77.27,226.0,1.0,1.0,2.0,2.0,-1.0,0.0,42.0,0
