,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
57,2017,11/5/17,9,9,26.222,OAK,@,MIA,W 27-24,*,21,30,70,300,1,1,99.3,1,5,10,9.17,4,-3,-0.75,0,0,0,0,,0,0.00%,,0,0,2,0,0,0,-2,0,64,100%,0,0%,0,0%,
58,2017,11/19/17,10,11,26.236,OAK,,NWE,L 8-33,*,28,49,57.14,237,1,1,68.2,1,2,4.84,4.33,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,
59,2017,11/26/17,11,12,26.243,OAK,,DEN,W 21-14,*,18,24,75,253,2,0,136.3,2,9,10.54,12.21,3,-3,-1,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,68,100%,0,0%,0,0%,
60,2017,12/3/17,12,13,26.25,OAK,,NYG,W 24-17,*,22,36,61.11,287,1,0,95.5,1,5,7.97,8.53,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
61,2017,12/10/17,13,14,26.257,OAK,@,KAN,L 15-26,*,24,41,58.54,211,1,2,60.1,3,13,5.15,3.44,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
62,2017,12/17/17,14,15,26.264,OAK,,DAL,L 17-20,*,21,38,55.26,171,2,0,84.4,0,0,4.5,5.55,4,47,11.75,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,
63,2017,12/25/17,15,16,26.272,OAK,@,PHI,L 10-19,*,15,29,51.72,140,1,2,48.1,1,3,4.83,2.41,3,3,1,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,67,100%,0,0%,0,0%,
64,2017,12/31/17,16,17,26.278,OAK,@,LAC,L 10-30,*,19,28,67.86,243,1,1,91.8,2,12,8.68,7.79,2,1,0.5,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,54,100%,0,0%,0,0%,
65,2018,9/10/18,1,1,27.166,OAK,,LAR,L 13-33,*,29,40,72.5,303,0,3,62.8,1,3,7.58,4.2,2,1,0.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
66,2018,9/16/18,2,2,27.172,OAK,@,DEN,L 19-20,*,29,32,90.63,288,1,0,114.6,1,7,9,9.63,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
